"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'GEOSCIENCES, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
93,Earth and Space Science,697,2.312,0.002820
94,QUATERNARY RESEARCH,"7,089",2.310,0.004440
95,PHYSICS AND CHEMISTRY OF THE EARTH,"4,426",2.308,0.002640
96,Geoscience Letters,294,2.283,0.001270
97,INTERNATIONAL JOURNAL OF EARTH SCIENCES,"5,337",2.278,0.006240
98,JOURNAL OF PETROLEUM GEOLOGY,"1,261",2.268,0.000620
99,Geomechanics and Geophysics for Geo-Energy and Geo-Resources,295,2.224,0.000910
100,Journal of Earth Science,"1,535",2.209,0.002550
101,Groundwater,"6,120",2.205,0.003850
102,Geothermal Energy,301,2.204,0.000790
103,Environmental Earth Sciences,"17,065",2.180,0.025340
104,ADVANCES IN SPACE RESEARCH,"12,627",2.177,0.014560
105,Earth Interactions,954,2.167,0.000910
106,Geomechanics for Energy and the Environment,197,2.077,0.000830
107,EARTH PLANETS AND SPACE,"4,801",2.075,0.010560
108,Archaeological and Anthropological Sciences,"1,474",2.063,0.002470
109,International Journal of Disaster Risk Science,691,2.048,0.001310
110,BULLETIN OF VOLCANOLOGY,"5,652",2.032,0.004400
111,International Journal of Astrobiology,749,2.026,0.001410
112,Journal of Palaeogeography-English,387,2.020,0.001070
113,SPE RESERVOIR EVALUATION & ENGINEERING,"2,938",2.013,0.002210
114,QUATERNARY INTERNATIONAL,"16,400",2.003,0.025710
115,JOURNAL OF APPLIED GEOPHYSICS,"5,619",1.975,0.008700
116,ACTA GEOLOGICA SINICA-ENGLISH EDITION,"4,558",1.973,0.005060
117,GEOMICROBIOLOGY JOURNAL,"2,903",1.972,0.002270
118,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,"1,143",1.906,0.001010
119,COMPTES RENDUS GEOSCIENCE,"2,528",1.903,0.001800
120,Quarterly Journal of Engineering Geology and Hydrogeology,"1,619",1.897,0.000500
121,NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW,523,1.891,0.000740
122,PHOTOGRAMMETRIC RECORD,821,1.867,0.000690
123,COMPUTATIONAL GEOSCIENCES,"2,208",1.807,0.004100
124,SOILS AND FOUNDATIONS,"5,845",1.756,0.004420
125,INTERNATIONAL JOURNAL OF SPELEOLOGY,836,1.730,0.000900
126,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,"4,693",1.704,0.005000
127,Natural Hazards Review,"1,304",1.667,0.001080
128,SURVEY REVIEW,752,1.660,0.000910
129,Spatial Statistics,661,1.656,0.003360
130,ISLAND ARC,"1,546",1.655,0.001010
131,GEOSCIENCES JOURNAL,"1,220",1.651,0.001680
