"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ENGINEERING, CIVIL' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
87,ADVANCES IN STRUCTURAL ENGINEERING,"2,401",1.416,0.003380
88,JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,"3,870",1.409,0.002170
89,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,"1,240",1.381,0.001350
90,JOURNAL OF ENERGY ENGINEERING,909,1.341,0.001250
91,ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems Part A-Civil Engineering,200,1.331,0.000620
92,JOURNAL OF WATERWAY PORT COASTAL AND OCEAN ENGINEERING,"2,393",1.325,0.001840
93,JOURNAL OF WATER SUPPLY RESEARCH AND TECHNOLOGY-AQUA,"1,227",1.319,0.000910
94,Advanced Steel Construction,367,1.317,0.000410
95,JOURNAL OF ENVIRONMENTAL ENGINEERING,"5,464",1.264,0.002370
96,Latin American Journal of Solids and Structures,"1,249",1.256,0.002130
97,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT,"1,948",1.228,0.002570
98,Advances in Civil Engineering,"1,439",1.176,0.001560
99,Periodica Polytechnica-Civil Engineering,520,1.140,0.000640
100,Journal of Advanced Concrete Technology,"1,530",1.103,0.001160
101,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-TRANSPORT,404,1.099,0.000460
102,Journal of Transportation Engineering Part B-Pavements,115,1.085,0.000250
103,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,356,1.063,0.000290
104,CIVIL ENGINEERING AND ENVIRONMENTAL SYSTEMS,410,1.040,0.000300
105,JOURNAL OF SHIP RESEARCH,"1,060",1.032,0.000510
106,TRANSPORTATION RESEARCH RECORD,"24,316",1.029,0.017330
107,Journal of Transportation Engineering Part A-Systems,224,0.989,0.000620
108,CANADIAN JOURNAL OF CIVIL ENGINEERING,"3,383",0.985,0.001800
109,Iranian Journal of Science and Technology-Transactions of Civil Engineering,263,0.975,0.000300
110,Beton- und Stahlbetonbau,746,0.974,0.001380
111,ENGINEERING JOURNAL-AMERICAN INSTITUTE OF STEEL CONSTRUCTION,460,0.966,0.000260
112,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS,"1,021",0.965,0.001030
112,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT,644,0.965,0.000390
114,International Journal of Steel Structures,"1,019",0.878,0.001320
115,CHINA OCEAN ENGINEERING,677,0.835,0.000790
116,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-CIVIL ENGINEERING,336,0.825,0.000270
117,Bauingenieur,367,0.815,0.000820
118,JOURNAL AMERICAN WATER WORKS ASSOCIATION,"3,051",0.804,0.001440
119,JOURNAL OF COLD REGIONS ENGINEERING,346,0.800,0.000220
120,Stahlbau,609,0.780,0.000550
121,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER,271,0.761,0.000210
122,Structural Engineering International,770,0.672,0.000550
123,Baltic Journal of Road and Bridge Engineering,254,0.620,0.000240
124,INTERNATIONAL JOURNAL OF OFFSHORE AND POLAR ENGINEERING,684,0.604,0.000440
125,Gradevinar,397,0.599,0.000370
126,Journal of the South African Institution of Civil Engineering,167,0.540,0.000180
127,CIVIL ENGINEERING,406,0.478,0.000150
128,Revista de la Construccion,143,0.430,0.000120
129,GEFAHRSTOFFE REINHALTUNG DER LUFT,194,0.368,0.000140
130,Tecnologia y Ciencias del Agua,200,0.289,0.000160
131,Bautechnik,370,0.282,0.000460
132,ITE JOURNAL-INSTITUTE OF TRANSPORTATION ENGINEERS,442,0.247,0.000260
133,NAVAL ENGINEERS JOURNAL,261,0.227,0.000060
134,Teknik Dergi,47,0.093,0.000030
Copyright © 2020 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
